,HMW_up,Main_up,Main_nr,HMW_nr,Main_r,HMW_r,RT (min),TmOnset,Tm1,Tagg
1,0,99,78.9,20.55,100,0,3.747,52.62,66.41,90
2,3.67,94.5,77.4,22.56,100,0,6.222,62.13,72.31,90
3,10.59,88,99.5,0,100,0,9.44,61.96,68.06,90
4,8.86,90,99.8,0,100,0,12.414,78.25,80.36,90
5,9.58,88.1,71.3,28.47,99.69,0.06,6.52,67.05,72.59,90
6,0.56,97.4,99.7,0,99.3,0,4.983,64.53,75.05,90
7,5.92,60.4,54.1,45.93,54.85,45.14,27.007,69.25,73.02,71.39
8,20.81,55.2,98.7,1.27,98.65,1.01,25.393,70.54,78.46,90
9,4.26,94.7,100,0,100,0,22.807,84.26,89.74,89.41
10,0.31,97.6,100,0,100,0,4.022,60.24,66.75,90
11,5.55,93.2,97.8,1.85,98.19,1.82,3.723,Hard to detect,Hard to detect,Hard to detect
12,21.01,79,100,0,100,0,11.207,71.5,79.51,90
13,7.43,90.7,90.9,8.87,100,0,28.315,59.81,61.37,60.67
14,36.17,61.4,99.5,0,99.62,0,9.224,68.77,73.9,71.82
15,4.85,95.2,100,0,99.74,0,7.866,65.39,71.48,70.54
16,14.68,84,100,0,100,0,15.048,Hard to detect,Hard to detect,Hard to detect
17,10,87.2,99.5,0,100,0,8.101,68.82,72.31,90
18,4.63,93.8,76.3,23.37,100,0,23.454,57.66,67.76,67.1
19,7.29,91.2,83.4,16.55,100,0,16.176,72.68,74.5,73.24
20,32.25,65.6,73.8,0,96.3,2.6,6.908,Hard to detect,Hard to detect,Hard to detect
21,4.38,95.6,100,0,99.97,0,19.081,74.82,79.49,77.82
22,2.47,75.6,30,0,28.78,0,18.556,38.33,48.18,49.06
23,8.33,68,63.2,11.16,100,0,25.778,50.78,62.64,90
24,4.33,93.3,86.2,13.2,100,0,18.809,58.51,63.6,90
25,40.63,59.4,92.3,7.68,99.05,0.95,20.742,77.83,81.38,79.1
26,1.89,95.9,96.5,0.53,98.99,1.01,30.529,78.26,81.86,79.98
27,0.25,66.9,69.4,0,100,0,11.948,59.79,63.42,67.09
28,0.26,96.6,100,0,100,0,10.3,61.51,67.26,90
29,13.47,84.4,88.4,11.62,88.69,10.3,21.75,61.51,71.19,90
30,0.55,96.8,99.5,0,100,0,9.309,Hard to detect,Hard to detect,Hard to detect
31,0.12,97.2,98.4,0,98.43,0,10.936,64.51,72.21,90
32,0.66,98.1,99.3,0.27,100,0,5.18,Hard to detect,Hard to detect,Hard to detect
33,0.12,94.6,82.8,17.25,97.9,2.1,10.959,56.78,66.51,69.25
34,1.55,96.6,79.9,20.14,100,0,10.388,62.37,69.93,90
35,3.67,93.4,98.2,1.16,99.12,0.88,7.548,80.83,86.4,90
36,0,59,33.6,21.27,80.98,19.02,19.192,69.24,73.9,70.96
37,4.71,93,71,28.99,98.95,1.05,13.876,73.1,76.47,73.1
38,1.83,91.6,99.3,0.75,99.62,0.38,11.45,52.92,58.98,90
39,9.22,89.2,67.9,3.12,52.25,42.29,22.58,67.09,75.78,90
40,0.32,96.3,100,0,78.31,0,28.214,Hard to detect,Hard to detect,Hard to detect
41,0.1,96.6,100,0,100,0,13.846,63.1,68.12,67.01
42,16.2,81.9,100,0,100,0,10.083,Hard to detect,Hard to detect,Hard to detect
43,7.2,90.3,88.2,0,87.76,0,8.745,Hard to detect,Hard to detect,Hard to detect
44,0.78,97.9,59.5,40.17,99.8,0,6.398,60.22,68.98,90
45,29.73,67.3,97.9,0,98.44,0,2.861,69.33,73.29,90
46,5.45,90.8,63.5,36.54,99.48,0,15.567,61.94,67.8,90
47,37.54,60.5,69.8,30.2,99.79,0,24.997,69.67,75.68,90
48,25.02,72.8,100,0,100,0,28.954,81.52,88.17,90
49,7.75,89.3,84.8,15.24,99.61,0,7.475,Hard to detect,Hard to detect,Hard to detect
50,4.22,92.5,100,0,99.69,0,17.046,67.8,75.51,90
51,0.52,93.4,72.4,27.34,99.71,0,23.247,62.2,66.57,90
52,1.52,97.5,99.7,0,99.88,0,3.342,61.77,70.57,90
53,18.11,54.1,62.9,0,81.96,0,23.941,65.72,68.36,68
54,10.13,87.7,88,12.02,97.44,2.55,8.196,58.87,72,72.57
55,1.95,94.3,88.2,11.13,99.61,0,16.238,74.03,77.17,90
56,2.44,95.9,99.1,0,100,0,4.797,60.01,69.96,90
57,3.85,93.5,99,0,99.33,0,0.01,60.11,63.98,63.23
58,48.77,48.1,80,20.02,100,0,20.102,65.21,73.12,90
59,0,59.5,45.9,54.14,45.59,54.42,12.619,55.75,69.97,90
60,1.14,96.6,76.6,23.42,100,0,29.852,72.78,74.76,74.24
61,11.45,48.1,64,35.98,100,0,16.257,61.56,70.77,90
62,10.63,86.9,97.9,2.1,99.22,0.78,26.619,67.83,73.84,90
63,3.67,94.5,75.3,24.31,99.82,0.18,11.171,Hard to detect,Hard to detect,Hard to detect
64,0.85,96.2,97.7,2.34,99.59,0.41,3.913,72.16,77.47,75.48
65,0.43,97.8,100,0,98.36,0.93,8.443,64.06,69.06,66.96
